Distance, Orientation, Half Length, Diameter 
0,     X, 0.502, .00635     
0.398, X, 0.485, .0157
0.568, X, 0.468, .00635
0.816, X, 0.437, .00635
1.125, X, 0.447, .00635
1.627, X, 0.434, .00635
0.517, Y, 0.502, .00635
0.915, Y, 0.485, .0157
1.085, Y, 0.468, .00635
1.333, Y, 0.437, .00635
1.642, Y, 0.447, .00635
2.144, Y, 0.434, .00635
